gam,bet,rmean,rstd,lmean,lstd
0.01,1,-0.011133407188208043,1.0739843861735909e-05,758.4,16.38210405696818
0.01,5,-0.010832882367711452,1.2527358496822333e-05,752.4666666666667,9.15690389208541
0.01,10,-0.010441553702684883,6.0314058447111765e-06,757.0666666666667,15.536909459591877
0.01,15,-0.010050467718177202,6.830578852519239e-06,760.6,10.4166533333248
0.01,20,-0.009645770662796618,9.57032936490871e-06,760.2666666666667,20.127813812952684
0.01,25,-0.009243459938223057,8.953344274691499e-06,757.8,14.067456533905954
0.01,50,-0.007141024109402167,7.437021130533028e-06,756.7333333333333,12.008145383678343
0.01,100,-0.0026799114550646137,1.590910345806018e-05,767.9333333333333,22.30834422861146
0.1,1,-0.010455556052655735,7.170581793696648e-06,760.8,15.10055186629504
0.1,5,-0.007192164672811444,9.044963401888147e-06,755.5333333333333,16.704756474995044
0.1,10,-0.002747255160182859,1.0928552167971805e-05,756.2666666666667,14.892802139139416
0.1,15,0.0018021863557340005,1.9335222414692614e-05,772.2666666666667,22.804872773646913
0.1,20,0.006155835117033758,1.882832643549562e-05,776.1333333333333,20.89933544929652
0.1,25,0.01016838071020137,2.5283144034948873e-05,778.0,20.707486568871655
0.1,50,0.023747167210058713,1.7004634881601906e-05,798.8666666666667,26.4873974225899
0.1,100,0.03307548802835892,1.1796345971715933e-05,776.0,17.553727049642003
0.2,1,-0.00969988015824773,8.137710808256528e-06,756.6,10.203267450511461
0.2,5,-0.0028276867270803706,1.2623340018874509e-05,765.1333333333333,12.44650776545596
0.2,10,0.006099743556950834,2.8952473397022286e-05,779.9333333333333,25.029227359673378
0.2,15,0.0137299520407634,2.8069474833559196e-05,783.2,31.86052939505766
0.2,20,0.019570498628971044,2.5820710085714238e-05,802.2,33.73860301395619
0.2,25,0.02391234598376114,2.243126357124796e-05,796.0,42.02062985407684
0.2,50,0.034448035762187385,2.0432787064055948e-05,792.1333333333333,39.21201629886203
0.2,100,0.039298815309216334,1.8963905990388344e-05,806.6,40.3844854698765
0.3,1,-0.008933308911152437,5.735987471917057e-06,754.4,11.666476188921258
0.3,5,0.0016537614086843666,1.7843914279235028e-05,759.9333333333333,24.55596781956589
0.3,10,0.013733257103126126,2.029795066245564e-05,772.8,25.54003393367623
0.3,15,0.022012203311631166,2.2097974705486694e-05,796.8,38.8642080411613
0.3,20,0.027501495235811815,1.8050683542566084e-05,799.6666666666666,32.84035457921989
0.3,25,0.03140594437153322,2.3597968176663635e-05,815.8666666666667,51.8431823440224
0.3,50,0.040898442629169175,1.9135108599678782e-05,801.8,34.654869787664765
0.3,100,0.04736817764677127,9.645612590521107e-06,893.9333333333333,88.63292591106058
0.4,1,-0.008160541340101947,7.0792707614691845e-06,760.6,15.300544652615038
0.4,5,0.006023076828514854,2.7919486497651593e-05,772.4,20.51925924588897
0.4,10,0.01970587986373039,2.381098489597409e-05,789.4,38.08551780751664
0.4,15,0.02786582311852073,2.0713862694300328e-05,802.7333333333333,45.65591114217547
0.4,20,0.033354274167224376,2.6988260440843987e-05,835.6666666666666,53.20985706510486
0.4,25,0.03748479761718504,2.0696762693847626e-05,808.4,41.277596829272895
0.4,50,0.04976388919464121,1.8092573981411614e-05,910.9333333333333,78.79379558202677
0.4,100,0.06359985092381441,1.5026730301554192e-05,880.5333333333333,82.21262406440727
0.5,1,-0.007365843643452813,1.0713407399059562e-05,755.2666666666667,12.222747463461541
0.5,5,0.010061478288736988,2.433855664834855e-05,773.0666666666667,21.37745437500816
0.5,10,0.024476925084695535,2.517323486089173e-05,805.3333333333334,40.65737598790928
0.5,15,0.03287843970884159,2.369318527232784e-05,846.5333333333333,45.08342883538868
0.5,20,0.0391860987359572,2.724064062720799e-05,868.9333333333333,47.55413289668476
0.5,25,0.04480762203236322,3.485370331755427e-05,882.7333333333333,74.04185002791027
0.5,50,0.06378754280420923,1.7318385337215057e-05,887.3333333333334,83.4079665792716
0.5,100,0.0817821335797651,2.352243546906161e-05,809.6,73.23824137702925
0.6,1,-0.006547875406341502,8.695178152115399e-06,767.1333333333333,15.461205932555483
0.6,5,0.0137541771821936,2.574625079309013e-05,784.7333333333333,27.29460671186811
0.6,10,0.028630843051344036,1.9531548701745085e-05,812.9333333333333,40.96903980107689
0.6,15,0.03819870678196989,2.7328804793024394e-05,891.7333333333333,48.716139237651234
0.6,20,0.04747141496238394,3.600928796354171e-05,909.2,79.28530759226454
0.6,25,0.055928112479265484,3.1590949455714015e-05,886.2,89.36606365580468
0.6,50,0.080252882287924,2.128050513628756e-05,884.2,82.0424280479314
0.6,100,0.094549665612476,1.9053349965517637e-05,756.4,50.312092648454474
0.7,1,-0.005706618288249128,9.354554787668812e-06,765.8666666666667,18.543162860981642
0.7,5,0.017104430784314763,2.9794847824746545e-05,795.8,30.351716041546428
0.7,10,0.032771429907610186,2.960421958504088e-05,830.5333333333333,49.993155087027226
0.7,15,0.045743870647134095,1.9604072581739166e-05,962.4,92.90195548713349
0.7,20,0.05852025564635545,2.1265244293183864e-05,914.1333333333333,82.15016061389588
0.7,25,0.06868225295569119,2.168021707733974e-05,892.4666666666667,92.68647270353006
0.7,50,0.09294908596638238,1.406688483901602e-05,819.1333333333333,56.475205965882836
0.7,100,0.10211541545032947,2.908870997431831e-05,742.2,32.63576769946332
0.8,1,-0.0048316612215171095,1.0441171093606419e-05,758.9333333333333,22.755121523638486
0.8,5,0.020167134556743058,2.3471277052996877e-05,794.4,48.51776307017187
0.8,10,0.03740958065652766,2.853742009560792e-05,843.1333333333333,60.65846098351729
0.8,15,0.05536259399399713,1.3060227598379288e-05,899.1333333333333,85.87655222598437
0.8,20,0.07059319685906756,3.1037767862228894e-05,883.6,62.513785146424574
0.8,25,0.08161923585754574,2.1987418033143357e-05,865.0666666666667,77.4815820408667
0.8,50,0.10118219622931582,2.5560678584140996e-05,761.2,49.239821283185016
0.8,100,0.1068797595663737,4.0323418534498834e-05,738.6666666666666,21.396780650888164
0.9,1,-0.00389663274445811,8.672444262373126e-06,762.5333333333333,18.24597368066598
0.9,5,0.02304343769582198,2.0691705446070946e-05,792.8666666666667,35.20391392381755
0.9,10,0.04381438858743338,1.8418983308307173e-05,943.6,85.53580147127478
0.9,15,0.06548488445237867,2.2588837659967307e-05,879.7333333333333,65.11985530969457
0.9,20,0.08181005013205156,1.6265727756830518e-05,892.9333333333333,47.26586741214237
0.9,25,0.09163694115593946,1.7426726748598667e-05,896.5333333333333,59.48654376318133
0.9,50,0.10645162034103556,3.1564249148938485e-05,729.6,34.0720804569763
0.9,100,0.11031323101555365,4.242013925698446e-05,729.8666666666667,24.864611175099622
0.99,1,-0.0030184233911219513,7.928883632361437e-06,762.8666666666667,23.087851543374253
0.99,5,0.025544028679805025,2.7239484697236196e-05,803.7333333333333,34.43151011630028
