,C,gr,dE,sig,SaSi,alpha,beta,gamma,NrObs,ObsSig,Obs,AVG LenTraj,STD LenTraj,Rop,AvgRop,AVG Rew,STD Rew,NrX,AllConverged,ds,l,r,STDr,STDl,rl,EquiP,OrderP,rop
0,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,1.0,[8],"[[0, 1, 2, 3, 4, 5, 6, 7]]",197.81,32.92,1.557,1.587,0.227,0.0,3.0,True,"[0.09999999999999998, 0.1, 0.1414213562373095]",0.20685645549318366,-0.8542068079640334,0.0,0.13199679230152367,-0.0,8,56,0.0
1,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[7, 1]","[[0, 1, 2, 3, 4, 5, 6], [7]]",205.14,37.994,1.557,1.587,0.227,0.0,3.0,True,"[0.09999999999999998, 0.1, 0.1414213562373095]",0.17746591820368895,-0.8542068079640334,0.0,0.15234161988773054,-0.0,7,294,0.0
2,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[6, 2]","[[0, 1, 2, 3, 4, 5], [6, 7]]",195.87,40.889,1.557,1.587,0.546,0.346,4.0,True,"[0.09999999999999998, 0.1, 1.0723805294763609, 0.1414213562373095, 1.1224972160321824, 1.0488088481701516]",0.214635124298316,-0.6493256262042388,0.2222222222222222,0.1639494787489976,-0.0,12,186,0.0
3,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[6, 1, 1]","[[0, 1, 2, 3, 4, 5], [6], [7]]",177.4,39.345,1.557,1.587,0.942,0.56,4.0,True,"[0.09999999999999998, 0.1, 0.5656854249492381, 0.1414213562373095, 0.6403124237432849, 0.574456264653803]",0.28869286287089013,-0.39499036608863203,0.35966602440590884,0.15775862068965515,-0.0,6,1080,0.0
4,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[5, 3]","[[0, 1, 2, 3, 4], [5, 6, 7]]",184.66,37.465,1.557,1.587,0.674,0.438,4.0,True,"[0.09999999999999998, 0.1, 1.063014581273465, 0.1414213562373095, 1.104536101718726, 1.0677078252031311]",0.25958299919807537,-0.567116249197174,0.2813102119460501,0.15022052927024862,-0.0,15,110,0.0
5,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 2, 1]","[[0, 1, 2, 3, 4], [5, 6], [7]]",165.74,40.889,1.557,1.587,1.026,0.474,3.0,True,"[0.1414213562373095, 1.2, 1.1575836902790224]",0.33544506816359265,-0.34104046242774566,0.3044315992292871,0.1639494787489976,-0.0,10,525,0.0
6,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 1, 2]","[[0, 1, 2, 3, 4], [5], [6, 7]]",153.48,45.56,1.557,1.587,1.195,0.574,3.0,True,"[0.1, 1.6186414056238645, 1.6278820596099706]",0.38460304731355255,-0.23249839434810526,0.3686576750160565,0.1826784282277466,-0.0,10,505,0.0
7,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[5, 1, 1, 1]","[[0, 1, 2, 3, 4], [5], [6], [7]]",168.67,40.419,1.557,1.587,1.182,0.581,4.0,True,"[0.09999999999999998, 0.1, 1.6733200530681511, 0.1414213562373095, 1.705872210923198, 1.6822603841260722]",0.3236968724939856,-0.24084778420038533,0.37315350032113037,0.16206495589414593,-0.0,5,2500,0.0
8,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[4, 4]","[[0, 1, 2, 3], [4, 5, 6, 7]]",160.16,46.25,1.557,1.587,0.752,0.429,4.0,True,"[0.09999999999999998, 0.1, 1.118033988749895, 0.1414213562373095, 1.1661903789690602, 1.131370849898476]",0.3578187650360867,-0.5170199100834939,0.27552986512524086,0.18544506816359263,-0.0,16,60,0.0
9,8.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 3, 1]","[[0, 1, 2, 3], [4, 5, 6], [7]]",147.39,45.139,1.557,1.587,0.868,0.46,3.0,True,"[0.1414213562373095, 1.307669683062202, 1.268857754044952]",0.4090216519647154,-0.4425176621708413,0.2954399486191394,0.18099037690457098,-0.0,12,224,0.0
