gam,bet,rmean,rstd,lmean,lstd
0.01,1,-0.010969687655014004,2.0812250321195023e-05,70.53333333333333,1.667999467092907
0.01,5,-0.010006925606557367,1.765948914192705e-05,69.8,1.5143755588800727
0.01,10,-0.008797191413403314,1.575304828478089e-05,69.8,1.5999999999999996
0.01,15,-0.007592280780072556,1.2995420319277913e-05,70.06666666666666,1.569146972791976
0.01,20,-0.006388048703086022,1.4261893874300228e-05,69.66666666666667,2.054804667656325
0.01,25,-0.005185885812540475,1.4961589198305111e-05,69.4,2.6025628394590847
0.01,50,0.0007258289364128627,1.7021370796283013e-05,70.13333333333334,1.2036980056845192
0.01,100,0.011545285566335172,1.9056401203018377e-05,70.8,1.6812693617224654
0.1,1,-0.008702808883843626,1.9425890774096196e-05,70.86666666666666,2.5263060428661888
0.1,5,0.001366683246589367,1.516268897021443e-05,70.4,1.7813852287849847
0.1,10,0.01306503524124634,1.3193936392603856e-05,70.33333333333333,1.247219128924647
0.1,15,0.022878073528902802,1.6759718978201658e-05,72.0,2.250925735484551
0.1,20,0.030452951918089517,1.6518532997429934e-05,70.4,1.9595917942265424
0.1,25,0.03605563380327551,1.4073668389251365e-05,70.53333333333333,2.4458581770458854
0.1,50,0.048736540752938776,2.261099868261279e-05,69.0,2.449489742783178
0.1,100,0.05935077864498924,1.908664792169417e-05,70.2,2.2271057451320084
0.2,1,-0.005935050508662695,1.4147393843646202e-05,69.86666666666666,1.586050300449376
0.2,5,0.014853256988214703,1.8305157119151655e-05,70.2,1.7587874611030558
0.2,10,0.03487063262755345,1.7454668326684863e-05,70.0,2.5298221281347035
0.2,15,0.04747697051313588,2.4141484160382316e-05,71.4,2.2744962812309306
0.2,20,0.055652347449035904,3.0288547088346924e-05,70.2,1.9390719429665313
0.2,25,0.06169630688886473,3.09594399924563e-05,70.26666666666667,2.2939534045447
0.2,50,0.08287199694602415,2.438951379563134e-05,70.73333333333333,2.0805982045769644
0.2,100,0.11022140591178202,2.691340425647951e-05,68.53333333333333,1.8571184369578821
0.3,1,-0.0028853288971535467,2.022284728066939e-05,70.4,1.624807680927192
0.3,5,0.02922844937225121,1.7131652236868565e-05,69.13333333333334,2.186829262247563
0.3,10,0.056082000321171575,2.1079966818204132e-05,70.26666666666667,1.569146972791976
0.3,15,0.07302538578643157,2.237084009121348e-05,69.73333333333333,1.9482185594936607
0.3,20,0.0858454933314825,3.090373595425769e-05,70.0,2.1908902300206643
0.3,25,0.09667187216155368,2.6036673193429447e-05,70.66666666666667,2.1499353995462798
0.3,50,0.13623784210251408,1.6509501665544623e-05,69.2,2.006655592438988
0.3,100,0.17959891601424224,1.2386491066999396e-05,70.2,3.3704599092705427
0.4,1,0.0005246109783517441,1.1664367732833166e-05,70.0,2.0976176963403033
0.4,5,0.045310806462238264,2.0017588741360746e-05,70.73333333333333,2.4073960113690385
0.4,10,0.082623733925117,1.6736261879280543e-05,70.53333333333333,2.499777767900357
0.4,15,0.10884790406884479,2.3810935678679465e-05,70.26666666666667,2.322833518691246
0.4,20,0.1292472607140368,1.7542246945140632e-05,70.53333333333333,1.4079141387961918
0.4,25,0.14573947521424996,1.1946610891211874e-05,70.93333333333334,2.0805982045769644
0.4,50,0.19373520574893066,1.4016996610439044e-05,69.33333333333333,1.8135294011647256
0.4,100,0.22488407675411257,4.292870705048409e-06,67.2,1.8690461025168246
0.5,1,0.004340034958311507,1.647668569256936e-05,70.73333333333333,2.2647050335284034
0.5,5,0.06469138870235004,2.223798919023619e-05,70.46666666666667,2.7292652653944964
0.5,10,0.11748286654865178,2.190329078235984e-05,72.13333333333334,2.8487814158961995
0.5,15,0.15282934054155156,1.4549505646343753e-05,71.0,1.632993161855452
0.5,20,0.17650126021629606,7.995950863362151e-06,70.6,2.1540659228538015
0.5,25,0.19272009880683452,1.1083924189341855e-05,70.13333333333334,3.2221455929585527
0.5,50,0.22676440048885718,4.120832706253274e-06,67.8,2.4819347291981715
0.5,100,0.24008262584349951,2.2775080248126228e-06,64.53333333333333,2.8952067667477954
0.6,1,0.008678600996595159,1.693639369405041e-05,70.4,2.154065922853802
0.6,5,0.08829209185280934,1.1893133440136055e-05,72.8,1.5143755588800731
0.6,10,0.15482560719978267,1.2378725446159149e-05,73.0,2.065591117977289
0.6,15,0.19064642990169656,1.0587202450258854e-05,71.46666666666667,2.7047283700134397
0.6,20,0.210012759858354,9.035859886820428e-06,70.4,2.6280537792569367
0.6,25,0.22123758921851316,8.942761802105756e-06,69.26666666666667,3.129785225148134
0.6,50,0.23915241873161086,3.2189120860651273e-06,65.6,3.0940803695659445
0.6,100,0.24294765276881852,1.4108063886291602e-06,63.2,5.30659966456864
0.7,1,0.013599394225091406,2.5618559656165525e-05,70.26666666666667,1.6519348924485155
0.7,5,0.11370277180835374,1.2136404573542824e-05,74.06666666666666,3.2138588781850532
0.7,10,0.18415870889132763,1.4400101028345464e-05,73.86666666666666,4.19311605160437
0.7,15,0.21426760219995375,7.060773721104901e-06,71.46666666666667,3.5565276448931034
0.7,20,0.22787167646769427,7.131111632433896e-06,68.8,3.5627704575699695
0.7,25,0.23463258419760985,4.644931274045319e-06,69.26666666666667,2.931817790306136
0.7,50,0.24252805493542956,1.780232075784432e-06,64.2,3.8850139424889236
0.7,100,0.24323195080021537,4.394328717809335e-08,63.13333333333333,3.095516470998373
0.8,1,0.019197479077214266,1.874712279122834e-05,69.26666666666667,2.112397269033981
0.8,5,0.1353777093763834,1.496057225822451e-05,76.13333333333334,4.112852484049915
0.8,10,0.20275657576928446,1.537086155246527e-05,79.26666666666667,6.04942605174702
0.8,15,0.22707103946869422,8.538184846165235e-06,72.26666666666667,3.92371705854991
0.8,20,0.23631343939190985,5.280776632466419e-06,66.86666666666666,2.305548862105411
0.8,25,0.24012996355531863,3.4974827882928767e-06,67.4,4.301937547973781
0.8,50,0.24315958306041013,2.809818499482365e-07,67.13333333333334,4.730985333122712
0.8,100,0.2432431039895495,9.098496215571041e-10,65.66666666666667,4.839651043435076
0.9,1,0.025483179606428756,1.5091406047008244e-05,72.26666666666667,2.4890872936792623
0.9,5,0.1501807165122044,1.0307526786371526e-05,77.8,4.198412398355677
0.9,10,0.21358267473887488,8.418483042619028e-06,79.53333333333333,5.11033810579648
0.9,15,0.2335694362386664,6.347601893512897e-06,71.33333333333333,4.01109572173102
0.9,20,0.23994412439054133,3.799582781896923e-06,71.0,4.953113498935123
0.9,25,0.2420856045562365,2.6615963313800916e-06,70.13333333333334,6.1304340973720794
0.9,50,0.24323552199848703,4.6307903450709724e-08,64.46666666666667,4.800925836637021
0.9,100,0.24324324220377447,1.0670137607580514e-14,66.06666666666666,4.388874824168744
0.99,1,0.031060846059575785,1.2473234882236718e-05,72.26666666666667,1.8061622912192086
0.99,5,0.15830358948986356,1.305743511048591e-05,79.53333333333333,5.678810517079161
0.99,10,0.21904760943767262,1.0012298245248651e-05,82.33333333333333,7.665217254295898
0.99,15,0.23635309204908722,6.338699469471601e-06,73.4,5.388877434122993
0.99,20,0.24121547599633802,4.174965733196422e-06,69.93333333333334,5.790413533495591
0.99,25,0.24263805112121126,2.9850555018321614e-06,67.53333333333333,6.053832578531462
0.99,50,0.243241773129749,2.1333744874893858e-08,67.0,8.32666399786453
0.99,100,0.24324324303088707,5.480181257342151e-15,70.2,5.588082557252235
