,C,gr,dE,sig,SaSi,alpha,beta,gamma,NrObs,ObsSig,Obs,AVG LenTraj,STD LenTraj,Rop,AvgRop,AVG Rew,STD Rew,NrX,AllConverged,ds,l,r,STDr,STDl,rl,EquiP,OrderP,rop
0,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,1.0,[9],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",196.68,36.151,1.747,1.783,0.253,0.0,1.0,True,[],0.1969622733953943,-0.8546812176909822,0.0,0.14760329903642008,-0.0,9,72,0.003446295232624852
1,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[8, 1]","[[0, 1, 2, 3, 4, 5, 6, 7], [8]]",195.76,35.575,1.747,1.783,0.253,0.0,1.0,True,[],0.20071860199248737,-0.8546812176909822,0.0,0.14525151069737058,-0.0,8,448,0.003446295232624852
2,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[7, 2]","[[0, 1, 2, 3, 4, 5, 6], [7, 8]]",197.37,42.245,1.747,1.783,0.552,0.39,4.0,True,"[1.1313708498984762, 1.1532562594670797, 1.0535653752852738, 0.09999999999999998, 0.17320508075688767, 0.14142135623730948]",0.19414502694757463,-0.6829408385985065,0.22400919012062032,0.1724848930262943,-0.0,14,301,0.003446295232624852
3,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[7, 1, 1]","[[0, 1, 2, 3, 4, 5, 6], [7], [8]]",183.54,41.971,1.747,1.783,1.136,0.578,2.0,True,[0.6480740698407861],0.2506124448799608,-0.34750143595634697,0.3319931074095347,0.17136616037889923,-0.0,7,2058,0.003446295232624852
4,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[6, 3]","[[0, 1, 2, 3, 4, 5], [6, 7, 8]]",186.5,47.519,1.747,1.783,0.886,0.475,2.0,True,[1.1313708498984762],0.23852686591540095,-0.4910970706490523,0.27283170591614014,0.19401845500571616,-0.0,18,192,0.003446295232624852
5,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[6, 2, 1]","[[0, 1, 2, 3, 4, 5], [6, 7], [8]]",187.56,46.278,1.747,1.783,0.964,0.58,2.0,True,[1.2649110640673518],0.2341989220970112,-0.4462952326249282,0.33314187248707633,0.18895149436550712,-0.0,12,1116,0.003446295232624852
6,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[6, 1, 2]","[[0, 1, 2, 3, 4, 5], [6], [7, 8]]",163.8,41.401,1.747,1.783,1.26,0.691,2.0,True,[0.7874007874011811],0.3312101910828025,-0.2762780011487651,0.39689833429063753,0.1690388698350482,-0.0,12,1086,0.003446295232624852
7,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[6, 1, 1, 1]","[[0, 1, 2, 3, 4, 5], [6], [7], [8]]",174.95,44.211,1.747,1.783,1.334,0.657,2.0,True,[1.5556349186104046],0.2856851216723828,-0.2337736932797243,0.3773693279724296,0.18051200391964722,-0.0,6,6480,0.003446295232624852
8,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[5, 4]","[[0, 1, 2, 3, 4], [5, 6, 7, 8]]",168.1,43.019,1.747,1.783,0.832,0.493,2.0,True,[1.1575836902790226],0.3136534378572595,-0.5221137277426766,0.2831705916140149,0.17564510860689206,-0.0,20,115,0.003446295232624852
9,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 3, 1]","[[0, 1, 2, 3, 4], [5, 6, 7], [8]]",156.73,38.355,1.747,1.783,0.982,0.512,2.0,True,[1.2041594578792296],0.36007675975828846,-0.43595634692705343,0.29408385985066055,0.15660215580597744,-0.0,15,550,0.003446295232624852
10,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 2, 2]","[[0, 1, 2, 3, 4], [5, 6], [7, 8]]",147.0,47.686,1.747,1.783,1.103,0.679,2.0,True,[1.0862780491200217],0.39980401763841256,-0.3664560597357841,0.3900057438253877,0.19470031030540585,-0.0,20,530,0.003446295232624852
11,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[5, 2, 1, 1]","[[0, 1, 2, 3, 4], [5, 6], [7], [8]]",156.66,42.414,1.747,1.783,1.06,0.687,2.0,True,[1.0862780491200217],0.3603625673689368,-0.39115450890292935,0.39460080413555426,0.17317491425771683,-0.0,10,2625,0.003446295232624852
12,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 1, 3]","[[0, 1, 2, 3, 4], [5], [6, 7, 8]]",124.08,55.023,1.747,1.783,1.231,0.671,2.0,True,[1.6911534525287764],0.49338559529642334,-0.29293509477311885,0.3854106835152211,0.22465703086722197,-0.0,15,510,0.003446295232624852
13,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[5, 1, 2, 1]","[[0, 1, 2, 3, 4], [5], [6, 7], [8]]",118.89,58.227,1.747,1.783,1.289,0.646,2.0,True,[1.6911534525287764],0.514576188143067,-0.25962090752441136,0.3710511200459506,0.23773885350318472,-0.0,10,2525,0.003446295232624852
14,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[5, 1, 1, 2]","[[0, 1, 2, 3, 4], [5], [6], [7, 8]]",249.72,42.28,1.747,1.783,1.338,0.643,2.0,True,[1.8601075237738276],-0.019598236158745674,-0.23147616312464103,0.3693279724296381,0.1726277968316185,0.0,10,2505,0.003446295232624852
15,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[5, 1, 1, 1, 1]","[[0, 1, 2, 3, 4], [5], [6], [7], [8]]",236.43,42.787,1.747,1.783,1.296,0.666,2.0,True,[1.8601075237738276],0.03466438020578144,-0.25560022975301555,0.382538770821367,0.174697860525886,-0.0,5,12500,0.003446295232624852
16,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[4, 5]","[[0, 1, 2, 3], [4, 5, 6, 7, 8]]",148.21,48.543,1.747,1.783,0.874,0.446,2.0,True,[1.2083045973594573],0.394863628940062,-0.4979896611143022,0.25617461229178634,0.19819941205291525,-0.0,20,95,0.003446295232624852
17,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 4, 1]","[[0, 1, 2, 3], [4, 5, 6, 7], [8]]",136.45,43.57,1.747,1.783,0.948,0.466,2.0,True,[1.2806248474865698],0.4428793075289891,-0.4554853532452614,0.26766226306720275,0.1778948227992814,-0.0,16,240,0.003446295232624852
18,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 3, 2]","[[0, 1, 2, 3], [4, 5, 6], [7, 8]]",121.52,51.172,1.747,1.783,1.159,0.523,2.0,True,[1.2806248474865698],0.503837987914421,-0.3342906375646181,0.30040206777713957,0.20893352931569492,-0.0,24,228,0.003446295232624852
19,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 3, 1, 1]","[[0, 1, 2, 3], [4, 5, 6], [7], [8]]",187.56,42.794,1.747,1.783,1.173,0.517,2.0,True,[1.2884098726725126],0.2341989220970112,-0.32624928202182657,0.29695577254451466,0.17472644128695083,-0.0,12,896,0.003446295232624852
20,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 2, 3]","[[0, 1, 2, 3], [4, 5], [6, 7, 8]]",106.0,42.454,1.747,1.783,1.407,0.503,2.0,True,[1.077032961426901],0.5672056181610321,-0.19184376794945435,0.28891441700172316,0.17333823289237302,-0.0,24,216,0.003446295232624852
21,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 2, 2, 1]","[[0, 1, 2, 3], [4, 5], [6, 7], [8]]",117.95,48.522,1.747,1.783,1.297,0.586,2.0,True,[1.077032961426901],0.5184141760574881,-0.2550258472142448,0.3365881677197013,0.19811366976972072,-0.0,16,848,0.003446295232624852
22,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 2, 1, 2]","[[0, 1, 2, 3], [4, 5], [6], [7, 8]]",234.48,35.791,1.747,1.783,1.378,0.597,2.0,True,[1.1704699910719627],0.04262616364527194,-0.20850086157380832,0.3429063756461803,0.14613343132451412,-0.0,16,836,0.003446295232624852
23,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[4, 2, 1, 1, 1]","[[0, 1, 2, 3], [4, 5], [6], [7], [8]]",238.9,33.376,1.747,1.783,1.434,0.553,3.0,True,"[0.14142135623730953, 1.1958260743101399, 1.1704699910719627]",0.024579454515760157,-0.1763354394026423,0.3176335439402642,0.13627306875714518,-0.0,8,3328,0.003446295232624852
24,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 1, 4]","[[0, 1, 2, 3], [4], [5, 6, 7, 8]]",264.02,84.453,1.747,1.783,1.351,0.567,4.0,True,"[1.772004514666935, 1.661324772583615, 1.148912529307606, 0.1414213562373095, 0.9899494936611665, 0.8485281374238571]",-0.07798464804834238,-0.22400919012062037,0.32567489948305567,0.3448187163155316,0.0,16,204,0.003446295232624852
25,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 1, 3, 1]","[[0, 1, 2, 3], [4], [5, 6, 7], [8]]",252.29,61.175,1.747,1.783,1.313,0.596,2.0,True,[1.148912529307606],-0.030091458435407503,-0.24583572659391162,0.3423319931074095,0.2497754368773477,0.0,12,800,0.003446295232624852
26,9.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 1, 2, 2]","[[0, 1, 2, 3], [4], [5, 6], [7, 8]]",221.53,46.364,1.747,1.783,1.243,0.648,2.0,True,[1.1832159566199234],0.0955005716152213,-0.28604250430786904,0.3721998851234922,0.18930262943001797,-0.0,16,788,0.003446295232624852
