gam,bet,rmean,rstd,lmean,lstd
0.01,1,-0.011150813865745847,1.4762914975420029e-05,65.66666666666667,3.299831645537222
0.01,5,-0.010906636708341645,2.037040869334592e-05,66.46666666666667,2.390722810272148
0.01,10,-0.010590674969419187,2.3907831460543634e-05,66.46666666666667,2.334285520001546
0.01,15,-0.010282721887918485,2.293013161169028e-05,67.13333333333334,2.36267268622258
0.01,20,-0.00995728959799564,1.867171137917483e-05,67.8,1.796292478040997
0.01,25,-0.009625090226164701,1.7854320028356302e-05,67.0,2.898275349237888
0.01,50,-0.007948260885873214,1.8000136968482062e-05,67.93333333333334,2.322833518691246
0.01,100,-0.0044696682720541175,2.2965462412769043e-05,68.26666666666667,3.6962443401677634
0.1,1,-0.010607205528364005,2.6644460913215202e-05,67.2,2.006655592438988
0.1,5,-0.007997832038106095,2.1323792898206746e-05,66.53333333333333,1.8208667044996882
0.1,10,-0.00454443642998604,2.4687077940694086e-05,66.73333333333333,2.322833518691246
0.1,15,-0.0011758170742954723,2.1442039846445258e-05,66.8,2.7129319932501077
0.1,20,0.001894908331563886,2.685699148468257e-05,67.2,2.8798148088606905
0.1,25,0.004518746740514118,3.2046344564531236e-05,68.53333333333333,3.792390040887437
0.1,50,0.012210384451404856,2.780207136816782e-05,69.46666666666667,3.518838192105772
0.1,100,0.015468397409305298,1.6172817804304603e-05,68.73333333333333,2.5420901286583493
0.2,1,-0.01000218812730736,2.066944488498018e-05,65.33333333333333,3.0258148581093915
0.2,5,-0.004618180842414864,1.6126447157445865e-05,67.93333333333334,2.619584360585134
0.2,10,0.0017679768610494766,2.871051724004596e-05,67.66666666666667,2.649947588580239
0.2,15,0.006547302273741673,3.534104744430349e-05,68.66666666666667,3.8930136855083823
0.2,20,0.009802391988115937,3.364929086046629e-05,69.8,3.290390047800818
0.2,25,0.011966407569364412,3.136475258362173e-05,69.06666666666666,3.6049348892255395
0.2,50,0.01538577527911002,1.2285799527789588e-05,66.53333333333333,4.014418457953226
0.2,100,0.013715854469533197,6.802878735108541e-06,66.06666666666666,2.4349309823666236
0.3,1,-0.009409323839100677,2.0905595484228405e-05,66.53333333333333,2.8952067667477954
0.3,5,-0.0013707604454175964,2.3008468338560408e-05,68.06666666666666,3.4149995932975195
0.3,10,0.006375579043513517,3.3661696994092794e-05,68.6,3.115552385479446
0.3,15,0.010742780989870759,2.5692061170130743e-05,69.86666666666666,3.9135093657171125
0.3,20,0.01313315865124261,1.2845426789042787e-05,67.8,2.8565713714171403
0.3,25,0.014430568140301818,1.3402715850172792e-05,68.53333333333333,3.930507459462313
0.3,50,0.014846893880800186,1.2691053458464304e-05,66.66666666666667,2.820559440174158
0.3,100,0.011751993419239425,5.128463795917796e-06,66.6,3.4215006454283574
0.4,1,-0.008809424880193218,2.4900034762253787e-05,67.33333333333333,2.6997942308422123
0.4,5,0.001517927688741287,3.0039299771447264e-05,66.73333333333333,1.9482185594936605
0.4,10,0.009323726643720127,2.935153303476529e-05,67.6,3.6842005012394927
0.4,15,0.012858077676312366,2.1901844668469703e-05,68.33333333333333,3.788872596902086
0.4,20,0.01440148821011278,1.5579801162477113e-05,68.53333333333333,2.729265265394496
0.4,25,0.014978190035567733,1.227174577507326e-05,68.13333333333334,3.0521395046025592
0.4,50,0.013732555109151586,8.558664640724495e-06,67.0,2.988868236194653
0.4,100,0.01025580494446015,4.2046508949587995e-06,67.13333333333334,3.5938218591849482
0.5,1,-0.008208492418336053,1.637916905019819e-05,65.86666666666666,2.55255862921022
0.5,5,0.00388900579674359,2.6253542327772132e-05,68.06666666666666,2.8158282775923835
0.5,10,0.011131846493304526,2.462510249424782e-05,67.06666666666666,3.043389922803554
0.5,15,0.013790866452311217,1.5619715151447844e-05,67.86666666666666,1.7838784213679537
0.5,20,0.014644587393240231,1.2971677100253748e-05,66.93333333333334,3.2754982657435323
0.5,25,0.014710061205049356,1.0061384550563726e-05,68.73333333333333,4.464178411408855
0.5,50,0.0125382810118654,7.800033296491876e-06,67.73333333333333,3.2550814975289875
0.5,100,0.009047938038929679,4.417118778584189e-06,67.46666666666667,4.145144415122616
0.6,1,-0.007616895589319662,1.808992229041171e-05,67.53333333333333,2.985892756874492
0.6,5,0.005742893043313732,2.4875476836804764e-05,68.2,3.745219174716837
0.6,10,0.012137883061394242,1.5587830793021338e-05,67.8,3.3901819026909648
0.6,15,0.013985366278815196,1.2748735650609886e-05,66.86666666666666,2.1561282171728307
0.6,20,0.0142777600771874,1.1510532197667319e-05,68.73333333333333,3.8895872388839527
0.6,25,0.013978632362342624,9.352207741067707e-06,67.93333333333334,3.295788558482206
0.6,50,0.011317385162971276,6.2141814902629505e-06,67.06666666666666,2.2939534045447005
0.6,100,0.007993065457456256,4.277980546480014e-06,65.73333333333333,2.862788073811185
0.7,1,-0.007025394924762083,2.3091049149008058e-05,66.86666666666666,2.729265265394496
0.7,5,0.007088893804891573,2.9888208764990147e-05,68.33333333333333,3.3199732261303287
0.7,10,0.012497327843698287,1.1290952390024562e-05,68.06666666666666,3.0214051182999095
0.7,15,0.013603400359081442,9.47725383062935e-06,68.4,3.4409301068170506
0.7,20,0.013436626397010567,9.1346638217436e-06,68.13333333333334,3.461534662865912
0.7,25,0.012888765010933704,7.933717396478031e-06,68.53333333333333,2.2469732728470295
0.7,50,0.0100091206155033,5.614103025220199e-06,69.13333333333334,2.8015868519267593
0.7,100,0.0069734188622857084,3.1821892718882686e-06,68.46666666666667,5.004886501099588
0.8,1,-0.006443031069025318,1.551316679056476e-05,68.13333333333334,2.7047283700134392
0.8,5,0.007923810461225863,2.7056758364263927e-05,68.06666666666666,3.974362282877035
0.8,10,0.01222731410805314,8.0673737660784e-06,69.26666666666667,2.048305532764962
0.8,15,0.012612122739929203,7.67371374744419e-06,67.0,3.011090610836324
0.8,20,0.012077023870039096,5.612594032289249e-06,67.93333333333334,2.7194770739161522
0.8,25,0.011348403587659935,4.842808107325045e-06,68.33333333333333,3.8930136855083823
0.8,50,0.008457682273308006,4.045133696138281e-06,69.33333333333333,5.146735750831676
0.8,100,0.005825570400639453,2.0762867358936593e-06,70.4,4.37873649964614
0.9,1,-0.005914016560683847,1.9022865300453555e-05,68.06666666666666,2.6699979192667715
0.9,5,0.00817475786443356,1.8487954554865755e-05,68.4,3.4019602192461527
0.9,10,0.011154953195224098,6.1513297381348535e-06,68.8,3.8850139424889236
0.9,15,0.01080855371985842,2.1430298136827044e-06,68.53333333333333,4.096611065529924
0.9,20,0.009938080991388936,3.302940750169765e-06,71.86666666666666,4.856153027059817
0.9,25,0.009083184251259875,2.034389822950701e-06,70.93333333333334,4.697043987682276
0.9,50,0.006336653376910183,1.0056961922696927e-06,71.26666666666667,4.809250345832382
0.9,100,0.004221844341580939,6.318312009458567e-07,71.86666666666666,4.208985098043892
0.99,1,-0.0054686728195259705,1.28074923008295e-05,67.4,2.388863048955856
0.99,5,0.007761062471448841,1.4700645669980475e-05,68.06666666666666,4.6542692468552165
0.99,10,0.009101026166369871,4.767119062903325e-06,69.6,4.079215610874227
0.99,15,0.007974660662962117,2.919517048820494e-06,71.73333333333333,4.057366414587451
0.99,20,0.006793678774478224,2.408899986039641e-06,71.66666666666667,5.236623169774795
0.99,25,0.005835954327651828,1.0370352402275786e-06,73.4,4.176122603564219
0.99,50,0.0033588724350747854,1.4493853108437898e-06,72.6,5.276362383309167
0.99,100,0.0019365903407784042,3.829498783563709e-07,77.86666666666666,5.389702115042063
