,C,gr,dE,sig,SaSi,alpha,beta,gamma,NrObs,ObsSig,Obs,AVG LenTraj,STD LenTraj,Rop,AvgRop,AVG Rew,STD Rew,NrX,AllConverged,ds,l,r,STDr,STDl,rl,EquiP,OrderP,rop
0,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,1.0,[6],"[[0, 1, 2, 3, 4, 5]]",183.75,35.482,1.114,1.159,0.17,0.0,1.0,True,[],0.2623740516237807,-0.8496905393457117,0.0,0.1424350688450885,-0.0,6,30,-0.015030946065428763
1,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[5, 1]","[[0, 1, 2, 3, 4], [5]]",245.14,35.916,1.114,1.159,0.17,0.0,1.0,True,[],0.01593673477580193,-0.8496905393457117,0.0,0.1441772710850628,-0.0,5,100,-0.015030946065428763
2,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[4, 2]","[[0, 1, 2, 3], [4, 5]]",220.91,30.589,1.114,1.159,0.49,0.239,3.0,True,"[1.02469507659596, 0.9899494936611666, 0.09999999999999998]",0.11320300268957495,-0.5667550839964632,0.21131741821396993,0.12279314359118461,-0.0,8,52,-0.015030946065428763
3,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 1, 1]","[[0, 1, 2, 3], [4], [5]]",179.19,40.382,1.114,1.159,0.886,0.356,2.0,True,[1.47648230602334],0.2806792180161375,-0.21662245800176838,0.3147656940760389,0.162105094135121,-0.0,4,192,-0.015030946065428763
4,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[3, 3]","[[0, 1, 2], [3, 4, 5]]",148.09,38.902,1.114,1.159,0.806,0.0,1.0,True,[],0.4055236642447112,-0.28735632183908044,0.0,0.1561639436393561,-0.0,9,24,-0.015030946065428763
5,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[3, 2, 1]","[[0, 1, 2], [3, 4], [5]]",131.0,27.973,1.114,1.159,0.974,0.0,1.0,True,[],0.47412789530729404,-0.1388152077807251,0.0,0.11229175866083255,-0.0,6,63,-0.015030946065428763
6,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[3, 1, 2]","[[0, 1, 2], [3], [4, 5]]",331.57,72.264,1.114,1.159,1.115,0.0,1.0,True,[],-0.3310184255951185,-0.014146772767462457,0.0,0.2900887158283489,0.0,6,57,-0.015030946065428763
7,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[3, 1, 1, 1]","[[0, 1, 2], [3], [4], [5]]",248.43,46.155,1.114,1.159,1.144,0.0,1.0,True,[],0.0027297177953514717,0.011494252873563093,0.0,0.18527959535947974,3.137606661323497e-05,3,162,-0.015030946065428763
8,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[2, 4]","[[0, 1], [2, 3, 4, 5]]",99.77,10.714,1.114,1.159,0.665,0.0,1.0,True,[],0.599494199349685,-0.4120247568523431,0.0,0.04300911244028742,-0.0,8,28,-0.015030946065428763
9,6.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[2, 3, 1]","[[0, 1], [2, 3, 4], [5]]",102.18,8.378,1.114,1.159,0.868,0.0,1.0,True,[],0.5898197583396894,-0.23253757736516356,0.0,0.033631728955080084,-0.0,6,45,-0.015030946065428763
